"file","lhs","op","rhs","beta","beta.std","se","z","pval","level"
"sub89","X8","~","X7",0.425047534808413,0.424212475169395,0.0432668277239793,9.80456616499964,0,"group"
"sub89","X7","~","X6",0.244797561655445,0.242465824188517,0.0491092713858789,4.93727187038325,7.9222994431305e-07,"group"
"sub89","X3","~","X2",0.227048615472164,0.227171069766176,0.051731786409843,4.39132466770859,1.12662164903909e-05,"group"
"sub89","X4","~","X3",0.276693158092503,0.27553151753637,0.0491587395268624,5.60493454853146,2.08333674756034e-08,"group"
"sub89","X5","~","X4lag",0.288141098920034,0.288735584831557,0.0505889481771167,5.70748345707181,1.14658760264064e-08,"group"
"sub89","X2","~","X1",0.289829054658325,0.288997619014224,0.0508059056634974,5.688268228665,1.28334136650921e-08,"group"
"sub89","X6","~","X5",0.510533152508758,0.515506167410232,0.0416371298008899,12.3809246668874,0,"group"
"sub89","X8","~","X7lag",0.316057957062503,0.314440158755456,0.0528050905841067,5.9547319259802,2.60498467241632e-09,"group"
"sub89","X5","~","X4",0.242506700284905,0.245019937218144,0.0482928931420131,5.07362307943786,3.90311816866884e-07,"group"
"sub89","X7","~","X6lag",0.317863102908128,0.318745969828164,0.053395646650559,5.96951230713912,2.37963804217145e-09,"group"
"sub89","X3","~","X2lag",0.342105822679837,0.339804613890772,0.0529812735162822,6.41367395191705,1.42053924179208e-10,"group"
"sub89","X4","~","X3lag",0.257906334654967,0.255684567106918,0.052548311367203,4.86570472874413,1.14049682120587e-06,"group"
"sub9","X1","~","X1lag",0.255094596809459,0.255095498867011,0.0540682112216852,4.71803104084753,2.38138165831181e-06,"group"
"sub9","X2","~","X2lag",0.347408830183159,0.35142590084973,0.0468089254891638,7.50766861612929,6.01740879346835e-14,"group"
"sub9","X3","~","X3lag",0.0894174039142306,0.0898326731888355,0.0549994621544749,1.63333730312718,0.102398075373254,"group"
"sub9","X4","~","X4lag",0.102107728576246,0.102436739389291,0.0561420169028798,1.82460027338342,0.068061372146401,"group"
"sub9","X5","~","X5lag",0.265600072822223,0.26571290092725,0.0470368457825592,5.64903739837448,1.61348754357249e-08,"group"
"sub9","X6","~","X6lag",0.304118059692657,0.302738864285987,0.0441674011969648,6.85435085790811,7.16360304409136e-12,"group"
"sub9","X7","~","X7lag",0.179153648034873,0.177670686291384,0.0520966060068226,3.41040808432158,0.000648657439823008,"group"
"sub9","X8","~","X8lag",0.149143498745868,0.148541914707405,0.0485527889335411,3.05938995411218,0.00221788252743971,"group"
"sub9","X8","~","X7",0.315251992457909,0.315373939343859,0.0450790273497555,6.99602360310396,2.63322696980595e-12,"group"
"sub9","X7","~","X6",0.385896568362969,0.386864759601555,0.0466451931445277,8.29377548942448,0,"group"
"sub9","X3","~","X2",0.341828862279545,0.339882798813924,0.0506079399370069,6.71599751416449,1.86783921662936e-11,"group"
"sub9","X4","~","X3",0.389109616061823,0.388591908130452,0.0497881316308943,7.80491043550879,5.99520433297585e-15,"group"
"sub9","X5","~","X4lag",0.174123402684949,0.173912443576415,0.0532356744121489,3.26684024381828,0.00108755033361319,"group"
"sub9","X2","~","X1",0.3151539545939,0.31896808788975,0.0453457073942481,7.03414074272903,2.00484073786811e-12,"group"
"sub9","X6","~","X5",0.502399625063058,0.500602658937142,0.0406654126936468,12.3102810417402,0,"group"
"sub9","X8","~","X7lag",0.409081712003601,0.405852430912564,0.0505080091201973,8.03540741324272,8.88178419700125e-16,"group"
"sub9","X5","~","X4",0.1487288600571,0.148071552564997,0.0489250097828741,3.02650021373789,0.00247402646102834,"group"
